2500,2012-04-19 23:38:00,2735.00,2671.50,2698.25,2683.50,435456,432701,
2500,2012-04-18 23:38:00,2728.25,2694.50,2713.50,2694.50,285992,434989,
2500,2012-04-17 23:38:00,2728.25,2654.25,2665.00,2712.75,300859,439439,
2500,2012-04-16 23:38:00,2710.00,2656.50,2694.75,2663.75,396998,436860,
2500,2012-04-13 23:38:00,2742.75,2691.00,2738.50,2693.50,293032,431658,
2500,2012-04-12 23:38:00,2740.25,2704.75,2706.25,2738.75,283699,448477,
2500,2012-04-11 23:38:00,2723.75,2697.50,2698.50,2704.25,270038,454635,
2500,2012-04-10 23:38:00,2746.00,2684.25,2728.75,2697.00,383510,448526,
2500,2012-04-09 23:38:00,2748.00,2718.75,2725.75,2728.50,192709,450506,
2500,2012-04-06 23:38:00,2761.25,2719.00,2755.00,2753.75,14688,451315,
2500,2012-04-05 23:38:00,2760.75,2722.50,2738.50,2753.75,225937,451677,
2500,2012-04-04 23:38:00,2781.00,2724.75,2780.50,2736.50,273624,445477,
2500,2012-04-03 23:38:00,2791.50,2763.00,2777.00,2779.00,252462,446459,
2500,2012-04-02 23:38:00,2783.75,2743.50,2758.00,2777.00,210984,452176,
2500,2012-03-30 23:38:00,2773.25,2740.25,2759.00,2750.75,209242,447711,
2500,2012-03-29 23:38:00,2773.25,2737.00,2765.25,2758.25,246572,444562,
2500,2012-03-28 23:38:00,2790.25,2750.25,2776.25,2768.00,238252,437201,
2500,2012-03-27 23:38:00,2789.50,2772.00,2775.75,2775.75,179109,434823,
2500,2012-03-26 23:38:00,2778.00,2729.00,2729.75,2777.00,202381,442401,
2500,2012-03-23 23:38:00,2746.50,2710.75,2732.50,2728.75,198235,438194,
2500,2012-03-22 23:38:00,2740.75,2715.50,2734.75,2731.25,233139,440336,
2500,2012-03-21 23:38:00,2748.50,2730.00,2736.25,2735.25,210535,436403,
2500,2012-03-20 23:38:00,2738.00,2707.25,2729.25,2735.50,212356,441649,
2500,2012-03-19 23:38:00,2735.00,2700.25,2708.50,2727.75,229820,441567,
2500,2012-03-16 23:38:00,2720.00,2702.75,2711.25,2709.00,196864,441184,
2500,2012-03-15 23:38:00,2717.25,2697.00,2702.25,2711.75,304394,432415,
2500,2012-03-14 23:38:00,2713.75,2686.00,2692.75,2702.75,341477,419810,
2500,2012-03-13 23:38:00,2696.50,2645.25,2646.25,2694.00,357188,378230,
2500,2012-03-12 23:38:00,2647.75,2630.75,2643.00,2647.00,253182,272870,
2500,2012-03-09 23:38:00,2647.75,2626.50,2634.75,2643.75,200242,194964,
2500,2012-03-08 23:38:00,2640.00,2599.25,2601.75,2633.00,179870,136324,
2500,2012-03-07 23:38:00,2614.50,2588.25,2589.75,2608.75,260566,471684,
2500,2012-03-06 23:38:00,2617.50,2575.00,2615.75,2589.50,285518,475855,
2500,2012-03-05 23:38:00,2645.00,2605.50,2639.75,2616.00,223081,465212,
2500,2012-03-02 23:38:00,2650.00,2632.75,2644.50,2643.50,179764,477388,
